receptor,site_id,copy,ligand,smiles,center_x,center_y,center_z,box_size,success,binding_energy,output
a9a10_2to3_apo_reference,35,1,acetate,CC(=O)[O-],5.79,-3.2,-4.59,15.26,True,-2.188,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site35_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,19,1,acetate,CC(=O)[O-],-42.47,37.0,9.34,20.060000000000002,True,-2.708,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site19_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,25,1,acetate,CC(=O)[O-],-43.53,-0.35,8.84,15,True,-3.018,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site25_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,18,1,acetate,CC(=O)[O-],-54.34,10.62,15.64,15,True,-2.425,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site18_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,18,2,acetate,CC(=O)[O-],-20.41,17.15,50.08,15,True,-2.447,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site18_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,26,1,acetate,CC(=O)[O-],-34.15,29.08,0.27,15,True,-3.042,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site26_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,38,1,acetate,CC(=O)[O-],0.79,-0.35,-0.56,15,True,-2.112,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site38_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,13,1,acetate,CC(=O)[O-],-35.69,14.15,8.28,15,True,-2.343,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site13_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,13,2,acetate,CC(=O)[O-],-23.61,29.71,13.46,15,True,-2.39,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site13_copy2_acetate_docked.pdb
a9a10_2to3_apo_reference,40,1,acetate,CC(=O)[O-],38.26,-20.64,-32.11,15,True,-2.364,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site40_copy1_acetate_docked.pdb
a9a10_2to3_apo_reference,31,1,acetate,CC(=O)[O-],-8.72,6.28,-8.76,15,True,-2.337,/cluster/home/nbhatt04/lean_pipeline/phase05_docking/results/a9a10_2to3_apo_reference_site31_copy1_acetate_docked.pdb
