compound_id,stoichiometry,site_id,binding_energy,n_contacts,h_bonds,salt_bridges,aromatic,hydrophobic,vdw,contact_residues
2,3to2,11,-7.166,0,0,0,0,0,0,
3,3to2,23,-7.716,0,0,0,0,0,0,
3,3to2,5,-8.665,0,0,0,0,0,0,
3,3to2,21,-7.178,0,0,0,0,0,0,
3,3to2,34,-9.239,0,0,0,0,0,0,
3,3to2,35,-9.256,0,0,0,0,0,0,
3,3to2,18,-7.132,0,0,0,0,0,0,
3,3to2,25,-8.006,0,0,0,0,0,0,
3,3to2,11,-8.112,0,0,0,0,0,0,
4,3to2,23,-8.263,0,0,0,0,0,0,
4,3to2,5,-9.652,0,0,0,0,0,0,
4,3to2,21,-8.743,0,0,0,0,0,0,
4,3to2,34,-10.808,0,0,0,0,0,0,
4,3to2,35,-10.792,0,0,0,0,0,0,
4,3to2,18,-7.782,0,0,0,0,0,0,
4,3to2,25,-8.12,0,0,0,0,0,0,
4,3to2,11,-8.414,0,0,0,0,0,0,
5,3to2,23,-7.541,0,0,0,0,0,0,
5,3to2,5,-7.778,0,0,0,0,0,0,
5,3to2,21,-6.522,0,0,0,0,0,0,
5,3to2,34,-9.368,0,0,0,0,0,0,
5,3to2,35,-9.462,0,0,0,0,0,0,
5,3to2,18,-7.416,0,0,0,0,0,0,
5,3to2,25,-7.886,0,0,0,0,0,0,
5,3to2,11,-8.55,0,0,0,0,0,0,
6,3to2,23,-8.618,0,0,0,0,0,0,
6,3to2,5,-8.184,0,0,0,0,0,0,
6,3to2,21,-8.009,0,0,0,0,0,0,
6,3to2,34,-11.682,0,0,0,0,0,0,
6,3to2,35,-11.704,0,0,0,0,0,0,
6,3to2,18,-8.774,0,0,0,0,0,0,
6,3to2,25,-8.829,0,0,0,0,0,0,
6,3to2,11,-8.603,0,0,0,0,0,0,
7,3to2,23,-7.706,0,0,0,0,0,0,
7,3to2,5,-7.985,0,0,0,0,0,0,
7,3to2,21,-7.28,0,0,0,0,0,0,
7,3to2,34,-10.233,0,0,0,0,0,0,
7,3to2,35,-10.272,0,0,0,0,0,0,
7,3to2,18,-7.269,0,0,0,0,0,0,
7,3to2,25,-7.672,0,0,0,0,0,0,
7,3to2,11,-8.695,0,0,0,0,0,0,
8,3to2,23,-7.552,0,0,0,0,0,0,
8,3to2,5,-8.737,0,0,0,0,0,0,
8,3to2,21,-7.162,0,0,0,0,0,0,
8,3to2,34,-9.779,0,0,0,0,0,0,
8,3to2,35,-10.348,0,0,0,0,0,0,
8,3to2,18,-7.624,0,0,0,0,0,0,
8,3to2,25,-7.848,0,0,0,0,0,0,
8,3to2,11,-8.433,0,0,0,0,0,0,
9,3to2,23,-8.638,0,0,0,0,0,0,
9,3to2,5,-8.94,0,0,0,0,0,0,
9,3to2,21,-7.938,0,0,0,0,0,0,
9,3to2,34,-9.913,0,0,0,0,0,0,
9,3to2,35,-9.904,0,0,0,0,0,0,
9,3to2,18,-7.917,0,0,0,0,0,0,
9,3to2,25,-8.479,0,0,0,0,0,0,
9,3to2,11,-9.096,0,0,0,0,0,0,
10,3to2,23,-7.703,0,0,0,0,0,0,
10,3to2,5,-8.779,0,0,0,0,0,0,
10,3to2,21,-7.137,0,0,0,0,0,0,
10,3to2,34,-10.027,0,0,0,0,0,0,
10,3to2,35,-10.786,0,0,0,0,0,0,
10,3to2,18,-7.844,0,0,0,0,0,0,
10,3to2,25,-8.506,0,0,0,0,0,0,
10,3to2,11,-8.32,0,0,0,0,0,0,
11,3to2,23,-9.965,0,0,0,0,0,0,
11,3to2,5,-10.229,0,0,0,0,0,0,
11,3to2,21,-9.775,0,0,0,0,0,0,
11,3to2,34,-12.617,0,0,0,0,0,0,
11,3to2,35,-12.685,0,0,0,0,0,0,
11,3to2,18,-8.582,0,0,0,0,0,0,
11,3to2,25,-9.756,0,0,0,0,0,0,
11,3to2,11,-9.041,0,0,0,0,0,0,
12,3to2,23,-8.382,0,0,0,0,0,0,
12,3to2,5,-8.922,0,0,0,0,0,0,
12,3to2,21,-6.982,0,0,0,0,0,0,
12,3to2,34,-10.07,0,0,0,0,0,0,
12,3to2,35,-10.932,0,0,0,0,0,0,
12,3to2,18,-8.051,0,0,0,0,0,0,
12,3to2,25,-7.726,0,0,0,0,0,0,
12,3to2,11,-9.233,0,0,0,0,0,0,
13,3to2,23,-7.686,0,0,0,0,0,0,
13,3to2,5,-8.463,0,0,0,0,0,0,
13,3to2,21,-7.334,0,0,0,0,0,0,
13,3to2,34,-9.493,0,0,0,0,0,0,
13,3to2,35,-9.356,0,0,0,0,0,0,
13,3to2,18,-7.65,0,0,0,0,0,0,
13,3to2,25,-7.863,0,0,0,0,0,0,
13,3to2,11,-8.197,0,0,0,0,0,0,
14,3to2,23,-9.62,0,0,0,0,0,0,
14,3to2,5,-10.027,0,0,0,0,0,0,
14,3to2,21,-9.741,0,0,0,0,0,0,
14,3to2,34,-12.363,0,0,0,0,0,0,
14,3to2,35,-12.329,0,0,0,0,0,0,
14,3to2,18,-9.051,0,0,0,0,0,0,
14,3to2,25,-9.2,0,0,0,0,0,0,
14,3to2,11,-9.246,0,0,0,0,0,0,
15,3to2,23,-8.82,0,0,0,0,0,0,
15,3to2,5,-9.37,0,0,0,0,0,0,
15,3to2,21,-8.384,0,0,0,0,0,0,
15,3to2,34,-10.816,0,0,0,0,0,0,
15,3to2,35,-10.839,0,0,0,0,0,0,
15,3to2,18,-8.171,0,0,0,0,0,0,
15,3to2,25,-8.067,0,0,0,0,0,0,
15,3to2,11,-10.054,0,0,0,0,0,0,
16,3to2,23,-8.241,0,0,0,0,0,0,
16,3to2,5,-9.247,0,0,0,0,0,0,
16,3to2,21,-8.067,0,0,0,0,0,0,
16,3to2,34,-10.06,0,0,0,0,0,0,
16,3to2,35,-10.623,0,0,0,0,0,0,
16,3to2,18,-8.013,0,0,0,0,0,0,
16,3to2,25,-8.181,0,0,0,0,0,0,
16,3to2,11,-8.45,0,0,0,0,0,0,
17,3to2,23,-8.028,0,0,0,0,0,0,
17,3to2,5,-7.814,0,0,0,0,0,0,
