compound_id,smiles,is_active,activity_uM,potentiation_pct,stoichiometry,site_id,site_description,binding_energy,has_pose
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-6.2,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-7.884,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-9.084,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,34,TMD M2 pore,-11.032,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,35,TMD M2,-11.013,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.975,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-8.229,True
11,CC1(O[C@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-8.906,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,23,ECD alpha9/alpha10,-6.194,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,5,ECD alpha9/alpha10,-8.768,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,21,ECD alpha9/alpha10,-7.992,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,34,TMD M2 pore,-10.054,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,35,TMD M2,-10.0,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,18,ECD alpha10/alpha10,-7.613,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,25,ECD alpha9/alpha10,-7.417,True
12,C(#C)COC1[C@@H]([C@@H]2OC(C)(C)OC2)OC(=O)C=1O,True,0.1981,150,2to3,11,ECD alpha10/alpha9,-8.848,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-5.652,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-8.274,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-6.956,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,34,TMD M2 pore,-10.396,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,35,TMD M2,-10.396,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.155,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-7.573,True
13,CC1(O[C@H]([C@H]2OC(=O)C(OC)=C2OC)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-8.421,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-7.371,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-4.968,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-9.698,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,34,TMD M2 pore,-12.674,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,35,TMD M2,-12.605,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-8.765,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-9.637,True
14,CC1(O[C@H]([C@H]2OC(=O)C(OCC3C=CC=CC=3)=C2OCC2C=CC=CC=2)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-9.906,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,23,ECD alpha9/alpha10,-6.434,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,5,ECD alpha9/alpha10,-9.946,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,21,ECD alpha9/alpha10,-8.678,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,34,TMD M2 pore,-10.059,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,35,TMD M2,-10.066,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.856,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,25,ECD alpha9/alpha10,-8.428,True
15,C=CCOC1C(C2OC(C)(C)OC2)OC(=O)C=1OCC=C,False,0,0,2to3,11,ECD alpha10/alpha9,-8.615,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,23,ECD alpha9/alpha10,-6.54,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,5,ECD alpha9/alpha10,-9.624,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,21,ECD alpha9/alpha10,-8.094,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,34,TMD M2 pore,-11.797,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,35,TMD M2,-11.798,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,18,ECD alpha10/alpha10,-8.325,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,25,ECD alpha9/alpha10,-8.064,True
16,CCCOC1[C@H]([C@H]2OC(C)(C)OC2)OC(=O)C=1OCCC,False,0,0,2to3,11,ECD alpha10/alpha9,-8.67,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,23,ECD alpha9/alpha10,-5.678,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,5,ECD alpha9/alpha10,-8.676,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,21,ECD alpha9/alpha10,-7.729,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,34,TMD M2 pore,-9.785,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,35,TMD M2,-10.676,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,18,ECD alpha10/alpha10,-7.91,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,25,ECD alpha9/alpha10,-8.14,True
17,CC1(O[C@H]([C@H]2OC(=O)C(OCC#N)=C2OCC#N)CO1)C,False,0,0,2to3,11,ECD alpha10/alpha9,-8.751,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,23,ECD alpha9/alpha10,-6.438,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,5,ECD alpha9/alpha10,-8.767,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,21,ECD alpha9/alpha10,-7.75,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,34,TMD M2 pore,-11.062,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,35,TMD M2,-11.077,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,18,ECD alpha10/alpha10,-8.512,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,25,ECD alpha9/alpha10,-7.881,True
18,C1C=CC(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)=CC=1,True,1288,500,2to3,11,ECD alpha10/alpha9,-8.338,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,23,ECD alpha9/alpha10,-5.969,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,5,ECD alpha9/alpha10,-7.936,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,21,ECD alpha9/alpha10,-7.321,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,34,TMD M2 pore,-8.874,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,35,TMD M2,-8.708,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,18,ECD alpha10/alpha10,-6.867,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,25,ECD alpha9/alpha10,-7.119,True
19,C=CCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,11,ECD alpha10/alpha9,-7.539,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,23,ECD alpha9/alpha10,-5.648,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,5,ECD alpha9/alpha10,-8.869,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,21,ECD alpha9/alpha10,-7.152,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,34,TMD M2 pore,-9.342,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,35,TMD M2,-9.321,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,18,ECD alpha10/alpha10,-7.619,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,25,ECD alpha9/alpha10,-7.18,True
20,CCCCOC1[C@@H]([C@H](O)CO)OC(=O)C=1O,False,0,0,2to3,11,ECD alpha10/alpha9,-7.685,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,23,ECD alpha9/alpha10,-5.631,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,5,ECD alpha9/alpha10,-8.295,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,21,ECD alpha9/alpha10,-7.468,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,34,TMD M2 pore,-9.328,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,35,TMD M2,-9.195,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,18,ECD alpha10/alpha10,-6.576,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,25,ECD alpha9/alpha10,-7.996,True
21,C1C(COC2[C@@H]([C@H](O)CO)OC(=O)C=2O)C1,False,0,0,2to3,11,ECD alpha10/alpha9,-8.52,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,23,ECD alpha9/alpha10,-5.528,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,5,ECD alpha9/alpha10,-7.125,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,21,ECD alpha9/alpha10,-7.165,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,34,TMD M2 pore,-9.613,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,35,TMD M2,-9.572,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,18,ECD alpha10/alpha10,-7.154,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,25,ECD alpha9/alpha10,-7.396,True
22,COC1[C@@H]([C@H](O)CO)OC(=O)C=1OC,False,0,0,2to3,11,ECD alpha10/alpha9,-7.779,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,23,ECD alpha9/alpha10,-5.179,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,5,ECD alpha9/alpha10,-6.093,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,21,ECD alpha9/alpha10,-6.403,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,34,TMD M2 pore,-8.15,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,35,TMD M2,-8.174,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,18,ECD alpha10/alpha10,-6.146,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,25,ECD alpha9/alpha10,-5.96,True
23,C(O)[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,False,0,0,2to3,11,ECD alpha10/alpha9,-7.111,True
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,1202,190,2to3,23,ECD alpha9/alpha10,-6.042,True
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,1202,190,2to3,5,ECD alpha9/alpha10,-8.213,True
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,1202,190,2to3,21,ECD alpha9/alpha10,-7.389,True
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,1202,190,2to3,34,TMD M2 pore,-9.753,True
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,1202,190,2to3,35,TMD M2,-9.127,True
24,CCCOC1C(=O)O[C@H]([C@H](O)CO)C=1O,True,1202,190,2to3,18,ECD alpha10/alpha10,-7.284,True
